nombre_producto,precio_venta,codigo_de_barras,cantidad,categoria
"
Cerveza Becker 470cc",800.0,7802130000669,24.0,
 ALKA 2 MANZANA,400.0,77989086,-1.0,
 ENCENDEDOR ZENGAZ,4300.0,4895151823129,0.0,
 KENT NEO AZUL 20U,4800.0,78026384,14.0,
 LAYS CORTE AMERICANO 350G,3500.0,7802000017629,6.0,
 OREO 36G,300.0,7590011251100,37.0,
 PACK ESPONJA WINNEX,300.0,8698898464732,2.0,
 SALCHICHAS PREMIUM RECETA DEL ABUELO 5 UNIDADES,1500.0,7801930007120,22.0,
1+1 CHOCO KRISPIS 140GR,750.0,7802900332419,2.0,
1+1 ZUCARITAS,750.0,7802900332402,10,
"120 CABERNET SAUVIGNON 1,5LT BOT",3400.0,7804330352111,7.0,
120 HEROES CARTON 1L,2250.0,7804330341115,0.0,
120 TRES MEDALLAS CABERNET SAUVIGNON,900.0,7804330004898,0.0,
1865 CARMENERE 2020 750ML,9990.0,7804300123413,10,
30/70 FRENK  TROPICAL GIN,2000.0,7804677380020,0.0,
40/60 FRENK BLANCA 350ML,2000.0,7804677380013,11.0,
40/60 FRENK NEGRA ,2000.0,7804677380006,10.0,
ABRIDOR MULTIUSO,1000.0,5060054612012,2.0,
ACE NATURALS MANZANILLA 400G,1400.0,7500435146364,0.0,
ACEITE DE REYES 900ML,1800.0,7804609020062,14.0,
ACEITE NATURA 900ML,2800.0,7790272001005,15.0,
ACEITE SALAD 5L,10450.0,7794870055996,0.0,
ACEITUNAS VERDES LAMINADAS,1600.0,1970a018,7.0,
ACONDICIONADOR BALLERINA  PALTA/AGUACATE 750ML,1900.0,7804920003232,1.0,
ACONDICIONADOR BALLERINA ACCION HIDRATANTE,1.0,7804920006189,3.0,
ACONDICIONADOR BALLERINA DETOX CARBON ACTIVADO Y MENTA,1900.0,7804920007469,4.0,
ACONDICIONADOR BALLERINA GRANADA 750ML,1900.0,7804920003218,3.0,
ACONDICIONADOR ELVIVE REPARACION TOTAL,4190.0,7509552848014,0.0,
ACONDICIONADOR FORTIFICANTE CAIDA,3500.0,7509552848045,3.0,
ACONDICIONADOR MANZANILLA BALLERINA,450.0,7804920008114,0.0,
ACONDICIONADOR NUTICION INTENSA ELVIVE,4200.0,7509552908558,2.0,
ACONDICIONADOR PANTENE RESTAURACION,1600.0,7501006721294,0.0,
ACONDICONADOR ELVIVE OLEO EXTRAORDINARIO,4200.0,7509552908497,1.0,
ACONFOODS CHORIZO PARRILLERO,2550.0,21,3.0,
ACTIVADOR COLOR,800.0,7804947001891,0.0,
ADHECIVO ACERO LIQUIDO PATEL,2500.0,7804663360265,4.0,
AGUA ARDIENTE SAN ALFONSO 1000CC,3500.0,22,8.0,
AGUA JAHUEL  BERRIES 1.6L,950.0,7804625210270,17.0,
AGUA JAHUEL VIDRIO 350CC,700.0,7804625210133,10,
AGUA MINERAL CACHANTUN CON GAS 1.6 LITROS,1100.0,7801620852955,15.0,
AGUA MINERAL CACHANTUN SIN GAS 1.5 LITROS,1100.0,7801620852962,10,
AGUA MINERAL CON GAS JAHUEL 500CC,600.0,7804625210072,24.0,
AGUA MINERAL VITAL 1.6 LITROS CON GAS,1100.0,7802820020953,2.0,
AGUA MINERAL VITAL 1/2 LITRO SIN GAS,600.0,7802820600209,10.0,
AGUA MINERAL VITAL GASIFICADA 600 ML,600.0,7802820600100,14.0,
AGUA MINERAL VITAL SIN GAS 1.6 LITROS,1100.0,7802820021950,10,
AJI CREMA,900.0,1970aK016,6.0,
AJI DON JUAN 100G,500.0,7802351221003,20.0,
AL TEXTILE CLEAN  750ML,6000.0,5900950764906,1.0,
ALCAPARRAS,1950.0,7802410070801,1.0,
ALFAJOR BON O BON CHOC BLANCO,600.0,7790040613607,38.0,
ALFAJOR BON O BON CHOCOLATE,600.0,7790040613706,32.0,
ALFAJOR DE MAICENA,450.0,23,10,
ALFAJOR LAGUITO 70G,600.0,7803403000737,8.0,
ALFI 2 UNIDADES 40G,500.0,7803473612229,5.0,
ALGABO CREMA HIDRATANTE 90ML,1400.0,7791274005114,0.0,
ALGABO FOOT,1400.0,7791274004377,0.0,
ALIÃ‘O COMPLETO EDRA 15G,400.0,7802420004636,0.0,
ALKA 2 MENTOL,400.0,77983428,0.0,
ALKA MIEL 29G,400.0,78020153,0.0,
ALKA MINTS,400.0,77559142,0.0,
ALMENDRAS CONFITADAS TERRANO,2000.0,7802408005440,0.0,
ALOE 500ML COCO,1200.0,6971873891382,4.0,
ALOE 500ML GRANADA,1200.0,6971549920156,8.0,
ALOE 500ML MANGO,1200.0,6971549920033,12.0,
ALOE ARANDANO 500ML,1200.0,6971549920163,2.0,
ALOE COCO 500ML,1200.0,6971549920088,4.0,
ALOE DURAZNO 500ML,1200.0,6971549920071,5.0,
ALOE FRUTILLA,1200.0,6971549920057,3.0,
ALOE ORIGINAL 500ML,1200.0,6971549920026,5.0,
ALUFOIL 4M,1550.0,7801875150233,5.0,
ALUPLAST 15M,1300.0,7801875150455,10.0,
AMBERRIES 25G AMBROSOLI,300.0,7802200135741,10,
AMBIENTAL POETT  FLORES DE PRIMAVERA,1900.0,7793253004248,2.0,
AMBIENTAL POETT ESPIRUTU PLAY,1900.0,7793253004323,1.0,
AMBIENTAL POETT LAVANDA,1900.0,7793253004231,2.0,
AMBIENTAL POETT SOLO PARA TI,1900.0,7793253004279,1.0,
AMERICANA EN VINAGRE DON JUAN 360G,1200.0,7802351421205,0.0,
AMP. MEGABRIGHT 7w,1300.0,7804660913419,3.0,